[I 2026-09-11 12:21:07,189] A new study created in RDB with name: chime_first_svae_opt
[I 2026-09-11 12:31:19,920] Trial 34 finished with value: 0.9263157894736841 and parameters: {'hidden_dim': 1035, 'latent_dim': 21, 'beta': 0.8568569825020594, 'gamma': 0.7997834674984445, 'dropout_rate': 0.316078167949592, 'lr': 0.006519228115304123, 'scheduler_patience': 5, 'class_weight': 0.7340148257130887, 'activation': 'ELU', 'classification_multiplier': 11866.681067048316}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:31:37,208] Trial 35 finished with value: 0.919298245614035 and parameters: {'hidden_dim': 1005, 'latent_dim': 31, 'beta': 0.9368298700159617, 'gamma': 0.7473277821132165, 'dropout_rate': 0.33514059880204927, 'lr': 0.007990694737119696, 'scheduler_patience': 5, 'class_weight': 0.5274575256721661, 'activation': 'ELU', 'classification_multiplier': 11020.826114275616}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:31:54,319] Trial 36 finished with value: 0.9192982456140352 and parameters: {'hidden_dim': 851, 'latent_dim': 22, 'beta': 1.0376358117564395, 'gamma': 0.29700714727189215, 'dropout_rate': 0.31700832918714406, 'lr': 0.006685904088267721, 'scheduler_patience': 5, 'class_weight': 0.6738325185568605, 'activation': 'GELU', 'classification_multiplier': 14245.804592944201}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:32:11,441] Trial 37 finished with value: 0.9175438596491228 and parameters: {'hidden_dim': 952, 'latent_dim': 17, 'beta': 1.713215785031418, 'gamma': 1.4494887193650756, 'dropout_rate': 0.38019395555527624, 'lr': 0.004598089168676557, 'scheduler_patience': 6, 'class_weight': 0.8424158901289693, 'activation': 'SELU', 'classification_multiplier': 12983.213049142443}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:32:28,677] Trial 38 finished with value: 0.9052631578947369 and parameters: {'hidden_dim': 714, 'latent_dim': 13, 'beta': 1.8544007079497948, 'gamma': 1.842829911652729, 'dropout_rate': 0.14135671874713684, 'lr': 0.008439185838515422, 'scheduler_patience': 5, 'class_weight': 0.39559107218646666, 'activation': 'ReLU', 'classification_multiplier': 11705.696941005324}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:32:45,983] Trial 39 finished with value: 0.9157894736842106 and parameters: {'hidden_dim': 1082, 'latent_dim': 15, 'beta': 1.3408851096608934, 'gamma': 0.5105341211558139, 'dropout_rate': 0.22022183035326232, 'lr': 0.005227302310171427, 'scheduler_patience': 2, 'class_weight': 0.9290738115795514, 'activation': 'LeakyReLU', 'classification_multiplier': 9270.080432776265}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:33:02,567] Trial 40 finished with value: 0.9017543859649123 and parameters: {'hidden_dim': 810, 'latent_dim': 32, 'beta': 1.144217816626339, 'gamma': 0.13869274014643806, 'dropout_rate': 0.2615135320423661, 'lr': 0.009603903116004113, 'scheduler_patience': 6, 'class_weight': 0.2642568441812883, 'activation': 'ELU', 'classification_multiplier': 8388.313315870118}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:33:19,138] Trial 41 finished with value: 0.9210526315789473 and parameters: {'hidden_dim': 1201, 'latent_dim': 21, 'beta': 0.7887407233056105, 'gamma': 0.8505182645949373, 'dropout_rate': 0.23624517620995927, 'lr': 0.005901500054234194, 'scheduler_patience': 4, 'class_weight': 0.7315776471895628, 'activation': 'ELU', 'classification_multiplier': 11810.223796767545}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:33:35,872] Trial 42 finished with value: 0.919298245614035 and parameters: {'hidden_dim': 1315, 'latent_dim': 18, 'beta': 0.5914658411223636, 'gamma': 1.2020207372387235, 'dropout_rate': 0.2997701398682664, 'lr': 0.006554700016374234, 'scheduler_patience': 4, 'class_weight': 0.7903687933714605, 'activation': 'ELU', 'classification_multiplier': 13813.905176188116}. Best is trial 24 with value: 0.9263157894736841.
[I 2026-09-11 12:33:52,269] Trial 43 finished with value: 0.9245614035087719 and parameters: {'hidden_dim': 1094, 'latent_dim': 10, 'beta': 0.8774910247841965, 'gamma': 0.6231991275610171, 'dropout_rate': 0.16049550627910392, 'lr': 0.007629454677001781, 'scheduler_patience': 3, 'class_weight': 0.5759654720803487, 'activation': 'ELU', 'classification_multiplier': 10915.735057878535}. Best is trial 24 with value: 0.9263157894736841.
