,Dynamic Spectral,PulseID,Source,Telescope,Date,Repeater,Receiver,Observing_band,MJD,GL,GB,SNR,DM_SNR,DM_SNR_err,DM_alig,DM_alig_err,Flux_density,Flux_density_err,Width,Width_err,Freq_high,Freq_low,Freq_peak,Fluence,Fluence_err,Energy,Energy_err,Polar_l,Polar_l_err,Polar_c,Polar_c_err,RM_syn,RM_syn_err,RM_QUfit,RM_QUfit_err,Scatt_t,Scatt_t_err,Scin_f,Scin_f_err,Reference,UMAP_cluster
3410,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190806b_3662.png,3662,FRB20190806B,UTMOST,,0.0,,,58701.71386574,89.92,-67.25,14.4,388.5,,,,,,11.96,,,,,46.8,,,,,,,,,,,,,,,,https://astronomy.swin.edu.au/research/utmost/?p=1664,0
3357,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190619a_3628.jpg,3628,FRB20190619A,CHIME,,0.0,,400-800,58653.052930891,137.1,45.59,15.9,899.9116,+0.0063/-0.0063,,,1.57,+0.56/-0.56,1.97,,800.2,400.2,552.9,3.33,+0.89/-0.89,,,,,,,,,,,<1.1,,,,https://www.chime-frb.ca/catalog,1
3235,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180907c_3187.jpg,3187,FRB20180907C,CHIME,,0.0,,400-800,58368.4915898619,129.37,15.66,17.1,638.1999,+0.003/-0.003,,,1.11,+0.47/-0.47,1.97,,800.2,400.2,670,1.48,+0.69/-0.69,,,,,,,,,,,0.8,+0.15/-0.15,,,https://www.chime-frb.ca/catalog,1
2998,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181203a_3279.jpg,3279,FRB20181203A,CHIME,,0.0,,400-800,58455.225677518,146.43,-35.49,29.4,635.9255,+0.0023/-0.0023,,,1.74,+0.74/-0.74,2.95,,800.2,515.2,800.2,3.6,+1.2/-1.2,,,,,,,,,,,1.44,+0.2/-0.2,,,https://www.chime-frb.ca/catalog,1
3081,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180917b_3197.jpg,3197,FRB20180917B,CHIME,,0.0,,400-800,58378.005943092,111.96,35.37,24.3,857.038,+0.027/-0.027,,,1.03,+0.52/-0.52,19.66,,765,400.2,456.2,8.3,+3.2/-3.2,,,,,,,,,,,6.6,+1.1/-1.1,,,https://www.chime-frb.ca/catalog,1
2941,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20181220b_3302.jpg,3302,FRB20181220B,CHIME,,0.0,,400-800,58472.354698705,117.17,27.5,24.7,257.7994,+0.0033/-0.0033,,,2.9,+1.8/-1.8,1.97,,800.2,400.2,419.5,3.8,+2.6/-2.6,,,,,,,,,,,<0.62,,,,https://www.chime-frb.ca/catalog,1
5353,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20010128a_5614.png,5614,FRB20010128A,Parkes,,0.0,13 beam,1230-1518,51937.76621169,340.2388,18.5704,7.2,141.8,,,,,,9.23,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,0
2921,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190323d_3491.jpg,3491,FRB20190323D,CHIME,,0.0,,400-800,58565.991067906,151.43,-5.97,12.2,763.65,+0.18/-0.18,,,0.37,+0.18/-0.18,12.78,,528.8,400.2,400.2,2.49,+0.87/-0.87,,,,,,,,,,,<7,,,,https://www.chime-frb.ca/catalog,1
3045,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190211b_3416.jpg,3416,FRB20190211B,CHIME,,0.0,,400-800,58525.776149089,94.41,16.1,18.4,260.7,+0.00068/-0.00068,,,0.3,+0.14/-0.14,0.98,,764.9,400.2,440.1,1.35,+0.38/-0.38,,,,,,,,,,,0.152,+0.022/-0.022,,,https://www.chime-frb.ca/catalog,1
2916,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190128d_3388.jpg,3388,FRB20190128D,CHIME,,0.0,,400-800,58511.7669264038,48.75,7.46,15.5,430.231,+0.015/-0.015,,,1.2,+1/-1,4.92,,705.4,400.2,419.5,3.6,+2.8/-2.8,,,,,,,,,,,<1.5,,,,https://www.chime-frb.ca/catalog,1
3351,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190627b_3645.jpg,3645,FRB20190627B,CHIME,,0.0,,400-800,58661.2821099812,65.18,36.74,68.4,430.3224,+0.0016/-0.0016,,,4.06,+0.61/-0.61,2.95,,800.2,400.2,501.6,10.2,+1.4/-1.4,,,,,,,,,,,0.62,+0.039/-0.039,,,https://www.chime-frb.ca/catalog,1
5369,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb19990513b_5630.png,5630,FRB19990513B,Parkes,,0.0,13 beam,,51311.69787002,28.5961,9.9168,8.2,147.7,,,,,,7.43,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.1093/mnras/stab2275,1
2935,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20180924b_3209.png,3209,FRB20180924B,ASKAP,,0.0,PAF,1152-1488,58385.270454485,0.742467,-49.414787,21.0,361.42,+0.06/-0.06,,,12.3,,1.3,+0.09/-0.09,,,,16,+1/-1,,,80,+10/-10,,,14,+1/-1,,,,,,,https://doi.org/10.1126/science.aaw5903,0
3302,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190128b_3386.jpg,3386,FRB20190128B,CHIME,,0.0,,400-800,58511.3346706778,200.92,31.35,21.4,248.2302,+0.0059/-0.0059,,,0.81,+0.29/-0.29,1.97,,800.2,400.2,515.9,1.64,+0.47/-0.47,,,,,,,,,,,0.208,+0.055/-0.055,,,https://www.chime-frb.ca/catalog,1
6607,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20220926a_6879.png,6879,FRB20220926A,DSA-110,,0.0,,1280-1530,59848.23593587645,110.6,12.72,18.16,441.98,,441.53,+0.03/-0.03,,,0.524288,,,,,,,,,17.5,+21/-21,2,+14.2/-14.2,,,,,,,,,"[https://doi.org/10.25800/e2xb-fv58, https://doi.org/10.3847/1538-4357/ad275e]",2
3371,https://fastzjlab-imgs.alkaidos.cn/img/plain/blinkverse/data/frb/frb20190609b_3610.jpg,3610,FRB20190609B,CHIME,,0.0,,400-800,58643.6996940258,122.36,28.7,76.5,292.1875,+0.001/-0.001,292.174,+0.007/-0.007,11.5,+4.9/-4.9,0.98,,778.7,400.2,487.1,22.2,+8.4/-8.4,,,30,+0.8/-0.8,,,28.1,+0.1/-0.1,29.7,+0.1/-0.1,<0.57,,,,"[https://www.chime-frb.ca/catalog, https://arxiv.org/abs/2401.17378]",2
