Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20190323B,CHIME,No,12:52:52.8,0.042,+77:14:24.0,0.15,122.83,39.89,789.56311,40.26311,32.96311,https://www.chime-frb.ca/catalog
FRB20190411C,CHIME,No,00:37:19.2,0.054,+20:30:00.0,0.21,118.46,-42.25,233.66,38.86,30.36,https://www.chime-frb.ca/catalog
FRB20190412A,CHIME,No,16:13:48.0,0.16,+61:52:12.0,0.15,93.6,41.95,364.7329,37.5329,30.7329,https://www.chime-frb.ca/catalog
FRB20190428A,CHIME,No,11:22:55.2,0.027,+23:19:48.0,0.15,218.78,69.65,969.4001,27.0001,20.0001,https://www.chime-frb.ca/catalog
FRB20190502C,CHIME,No,10:22:24.0,0.15,+82:58:12.0,0.04,127.98,32.63,396.835,47.435,41.635,https://www.chime-frb.ca/catalog
FRB20190529A,CHIME,No,04:32:14.4,0.22,+40:19:12.0,0.23,161.89,-5.29,704.45,165.45,221.65,https://www.chime-frb.ca/catalog
FRB20190531A,CHIME,No,13:35:50.4,0.071,+81:43:12.0,0.24,120.99,35.24,324.6981,43.9981,37.4981,https://www.chime-frb.ca/catalog
FRB20190531C,CHIME,No,22:04:33.6,0.24,+43:00:00.0,0.24,93.31,-10.07,478.202,132.402,118.802,https://www.chime-frb.ca/catalog
FRB20190613B,CHIME,No,04:23:00.0,0.046,+42:40:12.0,0.14,158.98,-4.92,285.1379,168.8379,224.8379,https://www.chime-frb.ca/catalog
FRB20190614A,CHIME,No,11:59:09.6,0.091,+88:19:48.0,0.24,123.36,28.75,1064.039,52.339,48.339,https://www.chime-frb.ca/catalog
FRB20190616A,CHIME,No,15:36:07.2,0.21,+34:28:48.0,0.22,55.08,54.13,212.5867,25.4867,24.6867,https://www.chime-frb.ca/catalog
FRB20180110A,ASKAP,No,21:53:00.0,0.11,-35:27:00.0,0.11,7.8,-51.9,715.7,38,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180525A,ASKAP,No,14:40:00.0,0.03,-02:12:00.0,0.1,349.0,50.7,388.1,46,,https://doi.org/10.3847/2041-8213/ab03d6
FRB20180324A,ASKAP,No,06:16:00.0,0.05,-34:47:00.0,0.17,245.2,-20.5,431,79,,https://doi.org/10.3847/2041-8213/ab03d6
FRB20180909A,CHIME,Yes,08:14:31.2,0.25,+56:45:36.0,0.24,160.94,33.67,408.647,49.847,44.147,https://www.chime-frb.ca/catalog
FRB20180924A,CHIME,No,02:21:50.4,0.19,+37:31:12.0,0.19,142.12,-21.96,1116.5456,69.2456,67.5456,https://www.chime-frb.ca/catalog
FRB20181013E,CHIME,No,20:29:07.2,0.23,+69:01:12.0,0.25,102.99,17.1,345.297,80.797,89.297,https://www.chime-frb.ca/catalog
FRB20181014A,CHIME,No,03:04:02.4,0.22,+63:19:48.0,0.2,137.18,4.19,1314.8896,186.6896,299.9896,https://www.chime-frb.ca/catalog
FRB20181017B,CHIME,No,15:51:02.4,0.23,+78:30:00.0,0.25,113.05,34.93,307.369,43.669,37.469,https://www.chime-frb.ca/catalog
FRB20181122B,CHIME,No,18:44:19.2,0.16,+85:01:12.0,0.088,117.34,27.17,225.75547,54.35547,51.05547,https://www.chime-frb.ca/catalog
FRB20181123B,FAST,No,05:06:06.8,0.05,+18:09:35.7,0.05,184.06,-13.47,1812,149.5,150,https://doi.org/10.3847/2041-8213/ab8e46
FRB20181126A,CHIME,No,17:28:12.0,0.18,+81:10:12.0,0.19,113.4,29.94,494.2168,49.6168,44.6168,https://www.chime-frb.ca/catalog
