Source,Telescope,Repeater,RA,RA_err,Dec,Dec_err,GL,GB,DM,DM_ne2001,DM_ymw16,Reference
FRB20190105A,CHIME,No,17:45:12.0,0.19,+63:49:12.0,0.21,93.23,31.41,383.551,46.351,40.551,https://www.chime-frb.ca/catalog
FRB20180915A,CHIME,No,18:42:12.0,0.23,+17:54:36.0,0.25,48.01,10.04,371.029,171.929,146.129,https://www.chime-frb.ca/catalog
FRB20180923C,CHIME,No,15:56:33.6,0.038,+22:51:00.0,0.21,37.67,48.06,173.9839,29.0839,27.4839,https://www.chime-frb.ca/catalog
FRB20190131E,CHIME,No,13:02:36.0,0.044,+80:55:12.0,0.27,122.39,36.2,279.8006,43.3006,36.5006,https://www.chime-frb.ca/catalog
FRB20190222D,CHIME,No,20:55:36.0,0.23,+26:34:12.0,0.26,71.38,-11.92,895.2976,115.5976,88.6976,https://www.chime-frb.ca/catalog
FRB20181117A,CHIME,No,09:50:55.2,0.22,+52:30:36.0,0.22,163.13,48.07,959.28,38.08,26.68,https://www.chime-frb.ca/catalog
FRB20190226C,CHIME,No,01:09:50.4,0.21,+26:45:36.0,0.056,128.01,-35.93,827.77,44.47,35.57,https://www.chime-frb.ca/catalog
FRB20190316A,CHIME,No,00:20:55.2,0.22,+20:30:36.0,0.24,113.33,-41.79,515.9273,38.9273,30.6273,https://www.chime-frb.ca/catalog
FRB20181208A,CHIME,No,17:37:43.2,0.22,+62:37:12.0,0.19,91.86,32.3,562.777,45.177,39.277,https://www.chime-frb.ca/catalog
FRB20190319A,CHIME,No,07:33:43.2,0.14,+05:43:12.0,0.23,212.61,12.0,2039.936,107.636,141.836,https://www.chime-frb.ca/catalog
FRB20190403A,CHIME,No,07:45:19.2,0.24,+86:21:36.0,0.29,126.94,27.92,518.834,54.234,51.034,https://www.chime-frb.ca/catalog
FRB20181224E,CHIME,No,15:57:16.8,0.034,+07:19:12.0,0.2,17.52,41.77,581.8537,36.5537,32.5537,https://www.chime-frb.ca/catalog
FRB20190410B,CHIME,No,17:43:02.4,0.02,+15:10:12.0,0.2,39.33,21.83,642.1699,78.3699,61.5699,https://www.chime-frb.ca/catalog
FRB20190414A,CHIME,No,12:05:45.6,0.21,+38:54:00.0,0.22,159.07,74.85,811.981,20.181,18.481,https://www.chime-frb.ca/catalog
FRB20181226D,CHIME,No,08:00:52.8,0.17,+22:09:36.0,0.046,199.59,24.7,385.3778,64.9778,79.1778,https://www.chime-frb.ca/catalog
FRB20181231A,CHIME,No,01:58:50.4,0.17,+20:57:36.0,0.19,143.38,-39.22,1376.7324,43.0324,34.2324,https://www.chime-frb.ca/catalog
FRB20190104A,CHIME,No,04:42:00.0,0.2,+35:35:24.0,0.2,166.73,-7.01,549.4329,151.5329,202.5329,https://www.chime-frb.ca/catalog
FRB20190107B,CHIME,Yes,02:13:48.0,0.2,+83:24:00.0,0.23,125.41,20.93,166.0939,69.9939,76.4939,https://www.chime-frb.ca/catalog
FRB20190418A,CHIME,No,04:23:09.6,0.19,+16:02:24.0,0.22,179.3,-22.93,184.5069,70.1069,85.6069,https://www.chime-frb.ca/catalog
FRB20190420C,CHIME,No,16:32:24.0,0.22,+37:15:00.0,0.23,59.83,42.84,629.954,35.754,29.554,https://www.chime-frb.ca/catalog
FRB20190116E,CHIME,No,01:17:26.4,0.22,+52:19:12.0,0.22,126.97,-10.35,1491.0006,128.4006,140.2006,https://www.chime-frb.ca/catalog
FRB20190124A,CHIME,No,03:21:50.4,0.13,+51:34:48.0,0.16,145.29,-4.64,1275.853,176.553,223.953,https://www.chime-frb.ca/catalog
FRB20190422A,CHIME,No,03:14:14.4,0.2,+35:09:00.0,0.2,153.27,-19.17,452.302,79.502,85.302,https://www.chime-frb.ca/catalog
FRB20190502A,CHIME,No,11:00:02.4,0.14,+59:57:00.0,0.13,145.3,52.07,625.7691,34.9691,25.1691,https://www.chime-frb.ca/catalog
FRB20190515A,CHIME,No,20:40:36.0,0.19,+55:27:36.0,0.18,92.32,8.29,450.503,157.403,224.603,https://www.chime-frb.ca/catalog
FRB20190519H,CHIME,No,22:51:57.6,0.18,+87:22:12.0,0.055,121.49,24.84,1170.8729,59.3729,58.4729,https://www.chime-frb.ca/catalog
FRB20190607A,CHIME,No,01:44:55.2,0.04,+23:39:36.0,0.06,138.44,-37.6,562.4528,43.9528,35.0528,https://www.chime-frb.ca/catalog
FRB20190623B,CHIME,No,22:20:52.8,0.18,+46:07:12.0,0.18,97.54,-9.2,1556.765,143.765,134.765,https://www.chime-frb.ca/catalog
FRB20191020B,WSRT,No,20:30:39.0,0.08,+62:17:43.0,0.08,96.98,13.11,465,102,101,https://doi.org/10.1051/0004-6361/202244107
FRB20190124C,CHIME,No,14:28:40.8,0.047,+28:22:48.0,0.17,41.94,68.49,303.644,21.444,21.444,https://www.chime-frb.ca/catalog
FRB20190203C,CHIME,No,13:04:02.4,0.22,+02:28:48.0,0.33,310.44,65.17,370.462,29.662,22.162,https://www.chime-frb.ca/catalog
FRB20190222C,CHIME,No,15:56:43.2,0.04,+40:01:48.0,0.19,63.82,49.81,524.0071,29.5071,26.2071,https://www.chime-frb.ca/catalog
FRB20190227A,CHIME,No,07:13:38.4,0.11,+56:20:24.0,0.15,160.53,25.29,394.0388,63.4388,66.2388,https://www.chime-frb.ca/catalog
FRB20190329B,CHIME,No,05:51:36.0,0.24,+76:16:12.0,0.25,137.34,22.86,406.0539,65.9539,70.0539,https://www.chime-frb.ca/catalog
FRB20190403E,CHIME,No,14:40:52.8,0.086,+86:32:24.0,0.27,121.09,30.19,226.198,49.898,45.098,https://www.chime-frb.ca/catalog
FRB20190409B,CHIME,No,08:26:36.0,0.22,+63:28:12.0,0.21,152.72,34.63,285.633,47.833,41.133,https://www.chime-frb.ca/catalog
FRB20190417C,CHIME,No,03:02:43.2,0.03,+71:15:36.0,0.046,133.15,11.04,320.23188,122.03188,173.43188,https://www.chime-frb.ca/catalog
FRB20190426A,CHIME,No,07:40:09.6,0.2,+59:07:12.0,0.2,158.01,29.19,340.6624,55.8624,53.9624,https://www.chime-frb.ca/catalog
FRB20190527C,CHIME,No,06:40:52.8,0.13,+57:00:00.0,0.038,158.61,21.11,535.4368,73.8368,84.1368,https://www.chime-frb.ca/catalog
FRB20190601B,CHIME,No,01:11:31.2,0.17,+23:49:12.0,0.036,128.83,-38.82,787.795,41.895,33.095,https://www.chime-frb.ca/catalog
FRB20190612B,CHIME,No,14:48:50.4,0.22,+04:18:36.0,0.12,358.95,53.88,187.5997,27.6997,25.7997,https://www.chime-frb.ca/catalog
FRB20190629A,CHIME,No,00:25:21.6,0.25,+12:40:12.0,0.26,113.07,-49.7,503.779,35.079,26.579,https://www.chime-frb.ca/catalog
FRB20190714A,ASKAP,No,12:15:55.13,0.08,-13:01:15.6,0.1,289.6972,48.9359,504,39,31,"[https://www.astronomerstelegram.org/?read=12940, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20180729B,CHIME,No,05:59:43.2,0.27,+56:30:00.0,0.24,156.9,15.68,317.2235,94.0235,118.4235,https://www.chime-frb.ca/catalog
FRB20180801A,CHIME,No,21:30:07.2,0.059,+72:43:12.0,0.22,109.21,15.46,655.728,90.128,108.028,https://www.chime-frb.ca/catalog
FRB20181116B,CHIME,No,15:30:38.4,0.2,+64:56:24.0,0.056,100.53,44.64,409.876,36.376,29.276,https://www.chime-frb.ca/catalog
FRB20181124B,CHIME,No,21:14:14.4,0.17,+29:52:48.0,0.18,76.68,-12.89,801.6446,104.9446,83.8446,https://www.chime-frb.ca/catalog
FRB20181129A,CHIME,No,23:40:28.8,0.18,+44:57:00.0,0.17,109.96,-16.13,385.9684,86.7684,80.4684,https://www.chime-frb.ca/catalog
FRB20181201B,CHIME,No,18:13:31.2,0.22,+56:18:36.0,0.21,84.88,27.43,876.577,51.277,45.477,https://www.chime-frb.ca/catalog
FRB20181209A,CHIME,No,06:32:38.4,0.21,+68:41:24.0,0.21,146.19,23.47,328.6557,65.6557,69.3557,https://www.chime-frb.ca/catalog
FRB20181218A,CHIME,No,00:20:14.4,0.19,+71:21:00.0,0.076,120.42,8.63,1874.406,147.206,228.406,https://www.chime-frb.ca/catalog
FRB20181225B,CHIME,No,02:27:04.8,0.23,+88:12:00.0,0.26,123.74,25.48,299.2875,58.2875,56.9875,https://www.chime-frb.ca/catalog
FRB20181230A,CHIME,No,23:06:45.6,0.22,+83:22:12.0,0.26,119.8,21.14,769.611,68.411,73.011,https://www.chime-frb.ca/catalog
FRB20190103C,CHIME,No,06:56:45.6,0.17,+11:04:12.0,0.05,203.64,6.19,1349.133,155.533,222.033,https://www.chime-frb.ca/catalog
FRB20190104B,CHIME,No,15:38:52.8,0.25,-06:15:00.0,0.43,359.71,37.54,530.137,49.837,37.537,https://www.chime-frb.ca/catalog
FRB20190116F,CHIME,No,17:26:40.8,0.21,+75:00:00.0,0.23,106.48,31.58,316.9203,46.8203,41.3203,https://www.chime-frb.ca/catalog
FRB20190121A,CHIME,No,23:38:57.6,0.15,+78:36:00.0,0.023,119.26,16.25,425.3534,87.3534,106.2534,https://www.chime-frb.ca/catalog
FRB20190128B,CHIME,No,08:29:45.6,0.21,+23:17:24.0,0.23,200.92,31.35,248.2302,57.2302,57.4302,https://www.chime-frb.ca/catalog
FRB20190128C,CHIME,No,04:39:12.0,0.23,+78:56:24.0,0.38,132.83,20.76,310.622,71.322,80.222,https://www.chime-frb.ca/catalog
FRB20190208C,CHIME,No,09:26:12.0,0.037,+83:33:36.0,0.22,128.8,31.03,238.3921,49.6921,44.4921,https://www.chime-frb.ca/catalog
FRB20190214C,CHIME,No,14:35:28.8,0.037,+19:21:36.0,0.21,20.45,64.93,533.112,22.112,22.212,https://www.chime-frb.ca/catalog
FRB20190220A,CHIME,No,15:48:50.4,0.24,+74:09:36.0,0.26,108.97,37.76,216.12,40.92,34.42,https://www.chime-frb.ca/catalog
FRB20190221C,CHIME,No,21:04:36.0,0.2,+54:40:12.0,0.19,93.9,5.14,2042.3,220.6,372.7,https://www.chime-frb.ca/catalog
FRB20190224C,CHIME,No,08:16:12.0,0.2,+19:46:48.0,0.22,203.48,27.2,497.4,59.9,68.2,https://www.chime-frb.ca/catalog
FRB20190226B,CHIME,Yes,18:14:16.8,0.23,+61:48:36.0,0.25,91.05,28.02,631.603,50.703,45.403,https://www.chime-frb.ca/catalog
FRB20190304C,CHIME,No,14:52:02.4,0.23,+26:43:12.0,0.25,39.04,63.18,564.991,22.091,22.491,https://www.chime-frb.ca/catalog
FRB20190328A,CHIME,No,08:01:24.0,0.24,+59:06:00.0,0.24,158.17,31.91,1303.58,51.78,47.18,https://www.chime-frb.ca/catalog
FRB20190411B,CHIME,No,10:16:07.2,0.2,+29:13:48.0,0.21,200.1,55.86,1229.581,35.281,22.581,https://www.chime-frb.ca/catalog
FRB20190415B,CHIME,No,00:35:26.4,0.15,+54:51:00.0,0.017,120.61,-7.95,722.993,155.393,169.593,https://www.chime-frb.ca/catalog
FRB20190423B,CHIME,No,19:54:19.2,0.21,+26:11:24.0,0.21,63.18,-0.87,584.949,482.649,424.149,https://www.chime-frb.ca/catalog
FRB20190517C,CHIME,No,05:50:00.0,0.19,+26:37:12.0,0.2,182.48,-0.37,335.5746,187.9746,292.4746,https://www.chime-frb.ca/catalog
FRB20190519D,CHIME,No,10:58:16.8,0.18,+42:59:24.0,0.031,170.84,62.15,539.771,30.471,18.671,https://www.chime-frb.ca/catalog
FRB20190601C,CHIME,No,05:54:04.8,0.18,+28:28:12.0,0.057,181.35,1.35,424.0656,186.3656,286.7656,https://www.chime-frb.ca/catalog
FRB20190605D,CHIME,No,01:46:52.8,0.23,+28:37:12.0,0.25,137.4,-32.69,1656.5332,48.8332,40.6332,https://www.chime-frb.ca/catalog
FRB20190611B,ASKAP,No,21:22:58.94,3.1e-5,-79:23:51.3,8.3e-5,312.9352,-33.2818,321.4,57.83,,"[https://doi.org/10.1038/s41586-020-2300-2, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20190612A,CHIME,No,09:52:38.4,0.2,+70:25:12.0,0.21,140.83,39.91,432.291,41.691,33.391,https://www.chime-frb.ca/catalog
FRB20190618A,CHIME,No,21:25:00.0,0.17,+25:26:24.0,0.075,74.96,-17.65,228.9469,77.2469,64.1469,https://www.chime-frb.ca/catalog
FRB20190627D,CHIME,No,19:41:19.2,0.22,+43:50:24.0,0.22,77.24,10.21,2002.242,132.042,140.942,https://www.chime-frb.ca/catalog
FRB20170712A,ASKAP,No,22:36:00.0,0.03,-60:57:00.0,0.17,329.3,-51.6,312.79,38,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180727A,CHIME,No,13:10:52.8,0.13,+26:25:12.0,0.26,24.76,85.6,642.134,21.234,19.734,https://www.chime-frb.ca/catalog
FRB20180921A,CHIME,No,01:55:40.8,0.22,+05:03:00.0,0.32,151.09,-54.27,394.372,35.172,25.972,https://www.chime-frb.ca/catalog
FRB20181013A,CHIME,No,17:31:19.2,0.18,+38:24:36.0,0.18,63.25,31.48,309.3055,48.1055,38.6055,https://www.chime-frb.ca/catalog
FRB20181018B,CHIME,No,22:27:16.8,0.16,+71:54:36.0,0.17,112.16,12.12,293.867,113.167,154.267,https://www.chime-frb.ca/catalog
FRB20181129C,CHIME,No,15:33:31.2,0.19,+40:01:48.0,0.19,64.61,54.23,502.2158,26.5158,24.7158,https://www.chime-frb.ca/catalog
FRB20181214A,CHIME,No,04:40:00.0,0.18,+43:04:12.0,0.18,160.82,-2.37,468.148,184.248,262.148,https://www.chime-frb.ca/catalog
FRB20181215A,CHIME,No,06:13:31.2,0.22,+39:20:24.0,0.089,173.73,10.12,412.632,128.532,176.932,https://www.chime-frb.ca/catalog
FRB20181222C,CHIME,No,08:44:12.0,0.23,+68:19:48.0,0.25,146.46,35.38,1104.892,46.392,39.292,https://www.chime-frb.ca/catalog
FRB20181224B,CHIME,No,03:01:26.4,0.21,+46:08:24.0,0.21,145.22,-11.03,781.0087,121.3087,140.7087,https://www.chime-frb.ca/catalog
FRB20181230B,CHIME,No,01:23:19.2,0.23,+79:42:00.0,0.25,124.42,16.92,1137.36,84.96,102.46,https://www.chime-frb.ca/catalog
FRB20190101A,CHIME,No,11:24:02.4,0.19,+27:59:24.0,0.2,205.31,70.64,854.609,24.309,18.609,https://www.chime-frb.ca/catalog
FRB20190101B,CHIME,No,20:31:04.8,0.23,+29:53:24.0,0.23,70.74,-5.61,1323.9056,234.0056,162.3056,https://www.chime-frb.ca/catalog
FRB20190103E,CHIME,No,17:31:33.6,0.23,+45:50:24.0,0.24,71.92,32.61,736.245,45.645,37.445,https://www.chime-frb.ca/catalog
FRB20190201A,CHIME,No,04:16:07.2,0.23,+84:50:24.0,0.32,127.32,23.83,242.0038,62.4038,63.5038,https://www.chime-frb.ca/catalog
FRB20190204A,CHIME,No,10:45:19.2,0.23,+61:31:48.0,0.24,145.59,49.68,449.639,36.139,26.339,https://www.chime-frb.ca/catalog
FRB20190219B,CHIME,No,16:25:12.0,0.17,+57:55:12.0,0.17,87.96,41.91,1681.11,37.71,30.61,https://www.chime-frb.ca/catalog
FRB20190219C,CHIME,No,23:18:40.8,0.23,+49:12:36.0,0.24,107.74,-10.91,806.688,124.088,122.088,https://www.chime-frb.ca/catalog
FRB20190223B,CHIME,No,20:46:28.8,0.23,+60:33:36.0,0.24,96.92,10.76,536.5143,124.7143,164.7143,https://www.chime-frb.ca/catalog
FRB20190323D,CHIME,No,03:47:31.2,0.24,+46:55:48.0,0.24,151.43,-5.97,763.65,162.35,205.55,https://www.chime-frb.ca/catalog
FRB20190409C,CHIME,No,16:50:24.0,0.22,+71:37:12.0,0.24,103.5,35.04,674.631,43.031,36.931,https://www.chime-frb.ca/catalog
FRB20190416B,CHIME,No,11:28:45.6,0.18,+35:57:00.0,0.034,181.14,70.36,575.36,20.56,11.86,https://www.chime-frb.ca/catalog
FRB20190604G,CHIME,No,08:03:14.4,0.023,+59:30:00.0,0.15,157.7,32.15,233.0453,51.4453,46.5453,https://www.chime-frb.ca/catalog
FRB20190607B,CHIME,No,02:48:04.8,0.18,+49:37:12.0,0.19,141.57,-8.98,289.376,138.276,161.776,https://www.chime-frb.ca/catalog
FRB20190630D,CHIME,No,09:33:26.4,0.2,+08:54:00.0,0.25,224.58,39.91,323.5174,43.7174,36.2174,https://www.chime-frb.ca/catalog
FRB20190806B,UTMOST,No,00:02:21.4,0.001,-07:34:54.6,1.2,89.92,-67.25,388.5,30.8,21.57,https://astronomy.swin.edu.au/research/utmost/?p=1664
FRB20191221A,CHIME,No,02:57:21.6,0.6,+79:43:12.0,2.95,128.56,18.25,388.19,85.04,,https://doi.org/10.1038/s41586-022-04841-8
FRB20171003A,ASKAP,No,12:29:30.0,0.11,-14:07:00.0,0.33,283.4,46.3,463.2,40,,https://doi.org/10.1038/s41586-018-0588-y
FRB20171004A,ASKAP,No,11:57:36.0,0.13,-11:54:00.0,0.17,282.2,48.9,304,38,,https://doi.org/10.1038/s41586-018-0588-y
FRB20180430A,ASKAP,No,06:51:00.0,0.1,-09:57:00.0,0.1,221.76,-4.61,264.1,165.44,294.16,https://doi.org/10.1093/mnras/stz748
FRB20180810B,CHIME,No,12:01:38.4,0.016,+83:08:24.0,0.16,124.71,33.82,169.1385,45.8385,39.5385,https://www.chime-frb.ca/catalog
FRB20180911A,CHIME,No,06:38:12.0,0.2,+84:37:12.0,0.07,128.95,26.69,221.254,56.554,54.554,https://www.chime-frb.ca/catalog
FRB20181017D,FAST,No,00:36:29.8,,+11:19:59.8,,117.9,-51.4,1845.2,34.62,25.91,https://doi.org/10.3847/2041-8213/abe7f0
FRB20181022C,CHIME,No,09:26:14.4,0.21,+83:48:36.0,0.3,128.56,30.89,528.473,49.873,44.673,https://www.chime-frb.ca/catalog
FRB20181112A,ASKAP,No,21:49:23.63,7e-5,-52:58:15.4,4e-5,342.5995,-47.6988,589.27,,,"[https://doi.org/10.1126/science.aay0073, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20181124A,CHIME,No,11:43:55.2,0.22,+63:31:12.0,0.24,135.07,51.99,1108.532,34.432,25.532,https://www.chime-frb.ca/catalog
FRB20181125A,CHIME,No,09:51:45.6,0.18,+33:55:48.0,0.041,191.59,51.02,272.19,37.99,24.59,https://www.chime-frb.ca/catalog
FRB20181213B,CHIME,No,12:14:04.8,0.22,+53:42:00.0,0.23,134.96,62.55,626.593,30.593,21.893,https://www.chime-frb.ca/catalog
FRB20181214F,CHIME,No,16:50:28.8,0.047,+32:26:24.0,0.22,54.19,38.53,2105.76,40.26,32.56,https://www.chime-frb.ca/catalog
FRB20181228A,CHIME,No,00:29:02.4,0.21,+10:13:12.0,0.27,113.91,-52.26,748.6791,34.1791,25.5791,https://www.chime-frb.ca/catalog
FRB20181229A,CHIME,No,09:08:43.2,0.18,+42:00:36.0,0.17,179.53,42.69,955.5735,42.9735,32.1735,https://www.chime-frb.ca/catalog
FRB20181229B,CHIME,No,15:53:28.8,0.23,+19:46:48.0,0.26,32.97,47.83,389.047,29.347,27.747,https://www.chime-frb.ca/catalog
FRB20190103D,CHIME,No,14:47:21.6,0.24,+59:54:36.0,0.24,99.85,51.71,1913.5509,33.2509,25.8509,https://www.chime-frb.ca/catalog
FRB20190106B,CHIME,No,22:22:31.2,0.18,+46:07:48.0,0.18,97.79,-9.34,316.5941,141.6941,132.8941,https://www.chime-frb.ca/catalog
FRB20190109A,CHIME,No,07:11:50.4,0.25,+05:09:36.0,0.34,210.64,6.88,324.604,147.704,204.804,https://www.chime-frb.ca/catalog
FRB20190117C,CHIME,No,07:40:31.2,0.25,+74:35:24.0,0.29,140.26,29.33,865.9008,53.3008,50.0008,https://www.chime-frb.ca/catalog
FRB20190127B,CHIME,Yes,10:03:40.8,0.24,+83:33:36.0,0.28,127.99,31.83,663.028,48.428,42.928,https://www.chime-frb.ca/catalog
FRB20190130A,CHIME,No,01:42:33.6,0.24,+13:09:36.0,0.3,141.65,-47.84,1367.461,37.361,28.061,https://www.chime-frb.ca/catalog
FRB20190212B,CHIME,No,09:19:57.6,0.18,+52:06:36.0,0.17,165.49,43.61,600.1866,41.1866,30.3866,https://www.chime-frb.ca/catalog
FRB20190218A,CHIME,No,12:16:12.0,0.22,+56:25:12.0,0.21,132.7,60.04,1285.129,31.429,22.729,https://www.chime-frb.ca/catalog
FRB20190303B,CHIME,No,08:34:57.6,0.028,+66:01:48.0,0.047,149.45,35.06,193.50698,47.10698,40.10698,https://www.chime-frb.ca/catalog
FRB20190320A,CHIME,No,04:06:24.0,0.2,+63:21:36.0,0.2,142.85,8.3,614.146,143.946,213.846,https://www.chime-frb.ca/catalog
FRB20190323A,CHIME,No,07:29:28.8,0.2,+34:27:36.0,0.21,184.44,22.29,857.5038,72.8038,88.8038,https://www.chime-frb.ca/catalog
FRB20190323C,CHIME,No,13:18:00.0,0.22,+40:04:12.0,0.23,101.57,75.94,381.118,23.618,20.218,https://www.chime-frb.ca/catalog
FRB20190328C,CHIME,Yes,04:55:19.2,0.2,+81:57:36.0,0.28,130.57,23.02,472.8607,64.6607,67.5607,https://www.chime-frb.ca/catalog
FRB20190403G,CHIME,No,05:26:57.6,0.22,+25:46:48.0,0.25,180.44,-5.19,865.311,165.311,245.311,https://www.chime-frb.ca/catalog
FRB20190404A,CHIME,No,09:32:24.0,0.096,+36:54:00.0,0.17,186.85,47.18,1353.9007,40.3007,27.4007,https://www.chime-frb.ca/catalog
FRB20190419B,CHIME,No,17:01:04.8,0.17,+86:44:24.0,0.057,119.64,28.6,165.0752,52.2752,48.0752,https://www.chime-frb.ca/catalog
FRB20190515B,CHIME,No,00:03:19.2,0.17,+03:24:36.0,0.25,100.26,-57.33,822.1887,32.4887,23.7887,https://www.chime-frb.ca/catalog
FRB20190517D,CHIME,No,22:39:48.0,0.22,+41:50:24.0,0.23,98.2,-14.62,1180.148,93.348,82.848,https://www.chime-frb.ca/catalog
FRB20190601A,CHIME,No,12:40:26.4,0.21,+62:43:12.0,0.21,125.09,54.36,2227.891,32.991,24.791,https://www.chime-frb.ca/catalog
FRB20190601D,CHIME,No,05:43:26.4,0.23,+79:21:00.0,0.26,134.05,23.58,668.47,63.87,66.17,https://www.chime-frb.ca/catalog
FRB20190613A,CHIME,No,17:09:36.0,0.19,+18:51:00.0,0.22,39.74,30.62,714.977,53.477,42.377,https://www.chime-frb.ca/catalog
FRB20190619C,CHIME,No,02:33:09.6,0.25,+36:19:48.0,0.22,144.87,-22.17,488.2712,69.2712,67.8712,https://www.chime-frb.ca/catalog
FRB20190628C,CHIME,No,00:46:04.8,0.22,+48:35:24.0,0.075,122.02,-14.27,1748.44,98.84,101.24,https://www.chime-frb.ca/catalog
FRB20191223B,UTMOST,No,20:34:14.1,0.001,-75:08:54.2,1.2,318.854,-32.661,665,60,45,https://astronomy.swin.edu.au/research/utmost/?p=1847
FRB20201020A,WSRT,No,13:51:24.7,0.08,+49:02:05.8,0.08,99.06,65.22,398.59,,21.93,https://www.wis-tns.org/object/20201020a
FRB20200413A,MeerKAT,No,21:54:16.8,1,-28:12:36.0,1,20.73,-50.98,1990.05,,,https://doi.org/10.1093/mnras/stac1450
FRB20200616A,Arecibo,No,19:42:07.8,,+16:12:32.5,,53.12,-3.45,976.85,398.67,,https://www.wis-tns.org/object/20200616a
FRB20200514B,UTMOST,No,07:01:00.6,0.001,-45:54:25.0,1.2,256.114,-17.556,349.4,85.3,228.2,https://astronomy.swin.edu.au/research/utmost/?p=2476
FRB20200430A,ASKAP,No,15:18:49.55,0.25,+12:22:34.8,0.25,17.1396,52.503,380.1,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20210117A,ASKAP,No,22:39:55.01,0.0025,-16:09:05.2,0.003,45.9175,-57.6464,730,34.4,,"[https://doi.org/10.3847/1538-4357/acc178, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20220501C,ASKAP,No,23:29:31.00,0.05,-32:29:26.6,0.05,11.1777,-71.4731,449.5,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20210630A,UTMOST,No,17:23:07.4,0.001,+07:51:42.0,1.2,29.9356,23.1882,943.7,78.7,59.7,https://astronomy.swin.edu.au/research/utmost/?p=2705
FRB20200906A,ASKAP,No,03:33:58.93,2.8e-5,-14:04:58.8,2.8e-5,202.257,-49.9989,577.8,36,38,"[https://iopscience.iop.org/article/10.3847/1538-3881/ac3aec, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20200917A,CHIME,No,20:57:31.2,0.41,+75:45:36.0,1.51,110.11,19.12,883.15,74.03,,https://www.wis-tns.org/object/20200917a
FRB20201123A,MeerKAT,No,17:34:40.6,0.014,-50:46:02.0,0.014,340.23,-9.68,433.9,,,https://doi.org/10.1093/mnras/stac1450
FRB20200607A,UTMOST,No,13:41:30.7,0.001,-05:08:24.1,1.2,325.4,55.5,466.9,30,25,https://astronomy.swin.edu.au/research/utmost/?p=2520
FRB20200508A,UTMOST,No,09:01:32.4,0.001,-65:35:42.7,1.2,282.02,-12.56,629,144.9,248.2,https://astronomy.swin.edu.au/research/utmost/?p=2362
FRB20220105A,ASKAP,No,13:55:12.81,0.18,+22:27:58.4,0.12,18.555,74.808,583,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20220725A,ASKAP,No,23:33:15.65,0.83,-35:59:24.9,1.33,0.0017,-71.1863,290.4,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20220918A,ASKAP,No,01:10:22.11,0.13,-70:48:41.0,0.13,300.6851,-46.2342,656.8,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20191228A,ASKAP,No,22:57:43.33,9.4e-5,-29:35:38.8,8.3e-5,20.5553,-64.9245,297.5,33,20,"[https://iopscience.iop.org/article/10.3847/1538-3881/ac3aec, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20200915A,MeerKAT,No,02:49:38.4,1,+04:40:28.9,1,169.34,-47.26,740.6,,,https://doi.org/10.1093/mnras/stac1450
FRB20210303A,UTMOST,No,22:15:52.3,0.001,-46:05:32.0,1.2,350.71,-53.98,366.9,37.4,25.2,https://astronomy.swin.edu.au/research/utmost/?p=2646
FRB20210213A,CHIME,No,12:46:57.6,0.57,+83:07:12.0,3.8,123.09,34.01,481.61,45.75,,https://doi.org/10.1038/s41586-022-04841-8
FRB20200125A,GBT,No,14:36:31.6,0.3,+07:42:06.8,0.3,359.83,58.43,179.47,25,,https://www.wis-tns.org/object/20200125a
FRB20200405A,VLITE-Fast,No,13:13:27.5,1.5,+36:35:37.0,1.5,98.06,79.45,212.3,21.6,19.9,https://iopscience.iop.org/article/10.3847/2515-5172/abea22
FRB20210206A,CHIME,No,03:35:57.6,0.31,+52:43:48.0,0.51,146.43,-2.47,361.51,191.12,,https://doi.org/10.1038/s41586-022-04841-8
FRB20220610A,ASKAP,No,23:24:17.569,0.05,-33:30:49.37,0.05,8.8392,-70.1857,1458.15,,,https://doi.org/10.48550/arXiv.2408.02083
FRB20200627A,ASKAP,No,21:47:00.0,0.25,-39:29:00.0,0.25,2.87,-50.01,294,40,,https://www.wis-tns.org/object/20200627a
FRB20220414A,Tianlai,No,13:04:21.0,0.04,+48:18:05.0,0.17,117.02,68.68,208.1,27,,https://ui.adsabs.harvard.edu/abs/2022ATel15342....1Y/abstract
FRB20190711A,ASKAP,Yes,21:57:40.13,1.4e-5,-80:21:28.9,2.2e-5,310.9081,-33.902,593.1,56.6,,"[https://doi.org/10.1038/s41586-020-2300-2, https://doi.org/10.48550/arXiv.2408.02083]"
FRB20000622A,Parkes,No,00:45:13.0,,-74:49:04.0,,303.4812,-42.3036,259.9,44.4,32,https://doi.org/10.1093/mnras/stab2275
